index_column,taxumap1,taxumap2
211203-LD-231.02,47.88095,-11.922612
211203-LD-231.06,50.29955,-10.545566
211203-LD-231.07,47.861034,-11.892901
211203-LD-232.01,45.328587,-12.831878
211203-LD-233.01,57.39086,-10.460671
211203-LD-233.04,57.50994,-10.457066
211203-LD-234.01,44.71323,-14.283079
211203-LD-234.03,49.47689,-12.27388
211203-LD-234.04,49.621258,-13.516805
220107-LD-002.03,46.842213,-13.514408
220107-LD-002.05,56.30472,-10.176444
220107-LD-002.06,56.448055,-10.081119
220107-LD-024.15,47.94315,-12.665797
220107-LD-072.15,45.47264,-14.446513
220107-LD-110.04,56.81954,-10.851131
220107-LD-119.08,44.3927,-11.883331
220107-LD-123.36,50.03963,-10.725782
220107-LD-123.38,50.182777,-10.774121
220107-LD-129.14,44.20542,-11.728763
220107-LD-136.18,50.74854,-10.961622
220107-LD-136.20,48.163853,-13.333402
220107-LD-143.05,45.143124,-13.902485
220107-LD-146.25,51.14416,-10.721641
220107-LD-146.26,51.070927,-10.733962
220107-LD-146.28,51.19366,-10.712392
220107-LD-146.29,51.243523,-10.697346
220107-LD-180.01,44.698936,-12.274126
220107-LD-180.03,47.648605,-12.04441
220107-LD-208.10,56.06655,-10.759508
220107-LD-211.03,45.756233,-13.88464
220107-LD-217.01,46.861546,-13.792574
220107-LD-218.03,44.650494,-14.436569
220107-LD-218.04,45.688656,-12.139958
220107-LD-222.09,46.19058,-13.213252
220107-LD-222.11,44.834045,-14.460929
220107-LD-228.07,50.677677,-12.365347
220107-LD-228.08,50.64611,-12.382837
220107-LD-228.09,50.79081,-12.402463
220107-LD-228.10,50.958298,-12.390028
220107-LD-231.09,49.382236,-13.563163
220107-LD-231.11,48.608994,-12.861633
220107-LD-233.05,57.474804,-10.44814
220107-LD-233.07,57.4168,-10.322936
220107-LD-234.05,44.650684,-13.664421
220107-LD-234.07,44.583775,-13.736909
220107-LD-234.08,50.20609,-10.5392065
220107-LD-234.10,50.22031,-10.438923
220107-LD-235.01,48.996185,-13.276858
220107-LD-235.02,49.120853,-13.405642
220107-LD-236.01,44.99311,-14.693524
220107-LD-236.03,45.032673,-14.653218
220107-LD-237.01,44.238564,-12.799229
220107-LD-237.03,44.8619,-14.415352
220107-LD-238.01,45.04305,-13.443363
220107-LD-239.01,45.164364,-14.359048
220107-LD-239.03,43.98111,-12.258492
220107-LD-239.04,55.633507,-9.973412
220107-LD-239.06,44.05565,-14.882623
220107-LD-239.07,43.977787,-14.795138
220107-LD-241.01,44.912315,-14.370012
220107-LD-242.01,44.879147,-14.33072
220107-LD-243.01,45.671803,-14.4174795
220107-LD-244.01,50.952965,-10.748455
220107-LD-245.01,44.040512,-14.720308
220107-LD-245.03,55.146454,-10.324983
220107-LD-246.03,44.70906,-13.710246
220107-LD-248.01,45.44302,-14.090611
220107-LD-251.01,46.492424,-13.491662
220107-LD-252.01,46.48409,-13.5299425
220107-LD-253.01,46.335613,-13.668394
220207-LD-002.09,56.14496,-11.170435
220207-LD-040.02,45.63661,-13.695662
220207-LD-042.04,45.660957,-14.368588
220207-LD-079.02,49.972824,-10.759731
220207-LD-119.10,44.51572,-12.02773
220207-LD-129.16,43.789417,-11.553715
220207-LD-129.18,43.925854,-14.703031
220207-LD-129.20,56.16222,-10.541264
220207-LD-136.22,44.49544,-11.467887
220207-LD-136.24,55.52566,-10.73639
220207-LD-138.12,46.556347,-13.65901
220207-LD-146.31,57.697094,-10.532682
220207-LD-149.05,43.741585,-11.465952
220207-LD-187.16,48.669563,-13.270227
220207-LD-191.11,46.705025,-13.673276
220207-LD-191.12,46.57121,-13.686546
220207-LD-218.06,45.828056,-14.092575
220207-LD-218.08,48.210754,-13.354187
220207-LD-234.11,49.34528,-12.984544
220207-LD-234.12,48.598293,-12.590612
220207-LD-235.04,51.277664,-10.713187
220207-LD-235.05,50.023823,-10.501512
220207-LD-239.08,55.27684,-10.243145
220207-LD-244.03,57.079254,-10.812961
220207-LD-244.05,56.75615,-10.758496
220207-LD-244.06,57.234882,-10.755623
220207-LD-246.04,45.947754,-14.115832
220207-LD-246.05,45.413944,-13.702561
220207-LD-250.01,44.18272,-14.453038
220207-LD-250.03,45.358337,-14.043936
220207-LD-253.03,46.68014,-13.690566
220207-LD-254.01,44.33222,-14.217991
220207-LD-256.01,44.321667,-11.762819
220207-LD-256.03,44.24018,-11.899663
220207-LD-256.04,44.42963,-11.965644
220207-LD-257.01,47.694973,-12.196891
220207-LD-258.01,55.769974,-10.001519
220207-LD-258.03,51.053787,-12.450928
220207-LD-258.04,56.249424,-10.196003
220207-LD-260.03,57.953255,-10.48236
220207-LD-260.05,57.966015,-10.433092
220207-LD-260.06,57.955215,-10.428857
220207-LD-261.01,44.71375,-12.608078
220207-LD-262.01,49.79771,-12.87056
220207-LD-262.03,49.61268,-13.555197
220207-LD-264.01,44.927227,-13.4443245
220207-LD-264.03,44.904613,-13.670162
220207-LD-264.04,44.87299,-13.590008
220207-LD-264.05,44.99504,-13.8121195
220207-LD-264.06,44.963158,-13.994418
220207-LD-264.07,45.451885,-14.354442
220207-LD-265.01,44.821556,-14.268002
220207-LD-266.01,44.18214,-14.419251
220207-LD-266.02,44.19192,-14.471019
220207-LD-268.01,50.27796,-10.535721
220207-LD-269.01,46.47765,-13.576223
220207-LD-270.01,45.36425,-14.581404
220207-LD-270.03,44.27104,-11.688558
220207-LD-271.01,45.941795,-13.770199
220325-LD-002.11,56.059307,-11.138985
220325-LD-002.12,57.975082,-10.4457245
220325-LD-002.13,56.50294,-10.111029
220325-LD-002.15,56.12536,-11.09164
220325-LD-002.16,56.14118,-11.108356
220325-LD-028.09,56.455086,-10.865207
220325-LD-028.10,51.039703,-10.733177
220325-LD-028.11,50.641136,-10.636757
220325-LD-029.09,55.882435,-11.103135
220325-LD-037.04,56.87356,-10.800494
220325-LD-129.21,44.061676,-13.76626
220325-LD-129.22,56.746326,-10.230345
220325-LD-150.01,48.91807,-13.411982
220325-LD-150.04,57.31168,-10.232626
220325-LD-150.05,56.664913,-10.176042
220325-LD-150.06,57.026012,-10.19584
220325-LD-187.18,44.88592,-13.365117
220325-LD-195.05,45.769035,-14.180123
220325-LD-203.09,46.950993,-13.498225
220325-LD-203.10,55.990993,-11.079129
220325-LD-250.04,45.518436,-14.177346
220325-LD-260.07,58.009384,-10.503775
220325-LD-262.04,49.62839,-13.546634
220325-LD-264.08,46.58029,-13.448798
220325-LD-264.09,45.215794,-14.172472
